مگر اینکه ... | Unless ...
-- Tone: Spoken
-- Example: 1. We need this deal to go through. I'm counting on you.

تنهات نمیذارم | I won't leave your side
-- Tone: Spoken
-- Example: 1. Don't be scared. I won't leave your side.

تا آخرش باهاتم | I'm with you till the end
-- Tone: Spoken
-- Example: 1. Whatever happens, I'm with you till the end.

پات وایسادم | I stand by you
-- Tone: Spoken
-- Example: 1. Even if the whole world is against you, I stand by you.

به من تکیه کن | Lean on me
-- Tone: Spoken
-- Example: 1. You can lean on me whenever you're weak.

خیالت راحت | Rest assured
-- Tone: Spoken
-- Example: 1. Rest assured, the problem will be solved.

قول مردونه | I give you my word
-- Tone: Spoken
-- Example: 1. I won't tell anyone. I give you my word.

حرف حرف توئه | You're the boss
-- Tone: Spoken
-- Example: 1. "We're eating Italian tonight." "Okay, you're the boss."

هر چی تو بگی | Whatever you say
-- Tone: Spoken
-- Example: 1. "Stop calculating." "Whatever you say."

سمت من نیا | Stay away from me
-- Tone: Spoken
-- Example: 1. You're dangerous. Stay away from me.

به من دست نزن | Don't touch me
-- Tone: Spoken
-- Example: 1. I said don't touch me!

ولم کن | Let me go
-- Tone: Spoken
-- Example: 1. You're hurting my arm. Let me go!

گم شو بیرون | Get out
-- Tone: Spoken
-- Example: 1. Get out of my house right now!

حالم ازت بهم میخوره | I hate your guts
-- Tone: Spoken
-- Example: 1. You ruined my life. I hate your guts.

برام مهم نیست | I don't give a damn
-- Tone: Spoken
-- Example: 1. Frankly my dear, I don't give a damn.

هر کاری دلت میخواد بکن | Do whatever you want
-- Tone: Spoken
-- Example: 1. I'm done arguing. Do whatever you want.

مسئله مرگ و زندگیه | It's a matter of life and death
-- Tone: Spoken
-- Example: 1. Please help me, it's a matter of life and death.

وقت طلاست | Time is money
-- Tone: Spoken
-- Example: 1. Hurry up! Time is money.

شانس در خونت رو زده | Opportunity knocks
-- Tone: Spoken
-- Example: 1. Opportunity knocks but once.

دیر رسیدن بهتر از هرگز نرسیدنه | Better late than never
-- Tone: Spoken
-- Example: 1. You're finally here! Well, better late than never.

کار نشد نداره | Nothing is impossible
-- Tone: Spoken
-- Example: 1. Don't accept defeat. Nothing is impossible.

هر چه پیش آید خوش آید | What will be, will be
-- Tone: Spoken
-- Example: 1. Don't worry about the future. What will be, will be.

دنیا کوچیکه | It's a small world
-- Tone: Spoken
-- Example: 1. I met my neighbor in Paris! It's a small world.

از دل برود هر آنکه از دیده برفت | Out of sight, out of mind
-- Tone: Spoken
-- Example: 1. He moved away and stopped calling. Out of sight, out of mind.

سحرخیز باش تا کامروا باشی | The early bird catches the worm
-- Tone: Spoken
-- Example: 1. I want to get to the sale first. The early bird catches the worm.

بادآورده را باد می‌برد | Easy come, easy go
-- Tone: Spoken
-- Example: 1. I won $50 and spent it all on dinner. Easy come, easy go.

وقتی تو رم هستی مثل رمی‌ها رفتار کن | When in Rome
-- Tone: Spoken
-- Example: 1. Everyone is eating with their hands? Well, when in Rome...

ظاهر بین نباش | Don't judge a book by its cover
-- Tone: Spoken
-- Example: 1. He looks messy but he's a genius. Don't judge a book by its cover.

تمرین باعث تسلط میشه | Practice makes perfect
-- Tone: Spoken
-- Example: 1. Keep playing that scale. Practice makes perfect.

نابرده رنج گنج میسر نمی‌شود | No pain, no gain
-- Tone: Spoken
-- Example: 1. My muscles hurt from the gym. No pain, no gain!

به عمل کار برآید به سخندانی نیست | Actions speak louder than words
-- Tone: Spoken
-- Example: 1. Stop promising and start doing. Actions speak louder than words.

صبر داشته باش (عجله کار شیطونه) | Haste makes waste
-- Tone: Spoken
-- Example: 1. Slow down and measure twice. Haste makes waste.

خنده بر هر درد بی درمان دواست | Laughter is the best medicine
-- Tone: Spoken
-- Example: 1. Watch a comedy when you're sad. Laughter is the best medicine.

صداقت بهترین سیاست است | Honesty is the best policy
-- Tone: Spoken
-- Example: 1. Just tell him the truth. Honesty is the best policy.

سکوت علامت رضاست (گاهی) | Silence is golden
-- Tone: Spoken
-- Example: 1. I just want some peace and quiet. Silence is golden.

دانش قدرته | Knowledge is power
-- Tone: Spoken
-- Example: 1. Read as much as you can. Knowledge is power.


برنامه چیه؟ | What's the plan?
-- Tone: Spoken
-- Example: 1. Okay, we're here. What's the plan?

بزن بریم بیرون (شهر) | Let's hit the town
-- Tone: Spoken
-- Example: 1. It's Friday night! Let's hit the town and celebrate.

بعداً بهت ملحق میشم | I'll catch up with you later
-- Tone: Spoken
-- Example: 1. You guys go ahead. I'll catch up with you later.

جای همه خالی | Wish you were here
-- Tone: Spoken
-- Example: 1. The view is amazing. Wish you were here.

بیا بزنیم به جاده | Let's hit the road
-- Tone: Spoken
-- Example: 1. Bags are packed. Let's hit the road before traffic gets bad.

خدا خیرت بده | God bless you
-- Tone: Spoken
-- Example: 1. (After sneezing) God bless you. 2. You saved my cat! God bless you.

به کجا میخوای برسی؟ | Where are you going with this?
-- Tone: Spoken
-- Example: 1. You're rambling. Where are you going with this?

صاف و پوست کنده بگو | Get to the point
-- Tone: Spoken
-- Example: 1. Stop wasting time and get to the point.

به عبارت دیگه | In other words
-- Tone: Spoken
-- Example: 1. He was fired. In other words, he's unemployed.

بین خودمون باشه | Just between us
-- Tone: Spoken
-- Example: 1. Just between us, I think he's lying.

از من نشنیده بگیر | Don't quote me on that
-- Tone: Spoken
-- Example: 1. I think they are dating, but don't quote me on that.

شایعه شده که ... | Rumor has it ...
-- Tone: Spoken
-- Example: 1. Rumor has it they are shutting down the company.

خبرش دهن به دهن پیچیده | Word on the street is ...
-- Tone: Spoken
-- Example: 1. Word on the street is you're looking for a job.

یه کلاغ چهل کلاغ نکن | Don't exaggerate
-- Tone: Spoken
-- Example: 1. It was a small spider, not a monster. Don't exaggerate.

پیاز داغشو زیاد نکن | Don't make a scene
-- Tone: Spoken
-- Example: 1. Please, don't make a scene in the restaurant.

حوصله بحث ندارم | I don't want to argue
-- Tone: Spoken
-- Example: 1. I'm tired. I don't want to argue tonight.

دست بردار (کافیه) | Give it a rest
-- Tone: Spoken
-- Example: 1. You've been complaining for hours. Give it a rest.

ول کن ماجرا نیست | He won't let it go
-- Tone: Spoken
-- Example: 1. I apologized, but he won't let it go.

بی‌خیال شو (بگذر) | Let it go
-- Tone: Spoken
-- Example: 1. Holding a grudge hurts you. Just let it go.

سخت نگیر | Lighten up
-- Tone: Spoken
-- Example: 1. Why so serious? Lighten up!

جنبه داشته باش | Can't take a joke?
-- Tone: Spoken
-- Example: 1. Why are you offended? Can't take a joke?

به دل نگیر | No hard feelings
-- Tone: Spoken
-- Example: 1. It's just business. No hard feelings.

همه چی روبراهه | It's all good
-- Tone: Spoken
-- Example: 1. "Sorry I spilled the water." "It's all good."

به خودت مسلط باش | Pull yourself together
-- Tone: Spoken
-- Example: 1. Stop crying and pull yourself together!

مرد باش (قوی باش) | Man up
-- Tone: Spoken
-- Example: 1. It's just a little needle. Man up!

تحمل کن (دووم بیار) | Hang in there
-- Tone: Spoken
-- Example: 1. I know school is hard, but hang in there.

ایول (حرکتت عالی بود) | Nice move
-- Tone: Spoken
-- Example: 1. You tricked him? Nice move.

چه فکر بکری | What a bright idea
-- Tone: Spoken
-- Example: 1. (Sometimes sarcastic) Leaving the door open was a bright idea.

کی فکرشو میکرد؟ | Who would have thought?
-- Tone: Spoken
-- Example: 1. He became a doctor? Who would have thought?

عجب دنیاییه | What a world
-- Tone: Spoken
-- Example: 1. Robots cleaning houses. What a world.

باورت میشه؟ | Can you believe it?
-- Tone: Spoken
-- Example: 1. He won twice in a row. Can you believe it?

شوخیت گرفته؟ (امکان نداره) | You gotta be kidding me
-- Tone: Spoken
-- Example: 1. The flight is cancelled? You gotta be kidding me.

غیر ممکنه | No way
-- Tone: Spoken
-- Example: 1. "I got tickets to the show!" "No way!"

بهت ایمان دارم | I have faith in you
-- Tone: Spoken
-- Example: 1. You can win this race. I have faith in you.


ازم دور شو | Get away from me
-- Tone: Spoken
-- Example: 1. You smell like alcohol. Get away from me.

به من دست نزن | Keep your hands off me
-- Tone: Spoken
-- Example: 1. I warned you. Keep your hands off me.

پاش برسه (مجبور شم) | If it comes to that
-- Tone: Spoken
-- Example: 1. I'll fight him if it comes to that.

از رو نعشم رد بشی | Over my dead body
-- Tone: Spoken
-- Example: 1. You want to date my daughter? Over my dead body!

کور خوندی | Dream on
-- Tone: Spoken
-- Example: 1. You think you'll beat me? Dream on.

تو خواب ببینی | In your dreams
-- Tone: Spoken
-- Example: 1. Date a supermodel? In your dreams.

زهی خیال باطل (آرزوشو ببر به گور) | Fat chance
-- Tone: Spoken
-- Example: 1. "Will he lend you money?" "Fat chance."

عمراً (راه نداره) | No chance / Not a chance
-- Tone: Spoken
-- Example: 1. "Can I drive your Ferrari?" "Not a chance."

نمیذارم این اتفاق بیفته | I won't let that happen
-- Tone: Spoken
-- Example: 1. They want to fire you? I won't let that happen.

جلوی منو بگیر (اگه میتونی) | Stop me
-- Tone: Spoken
-- Example: 1. I'm going to tell the truth. Try and stop me.

مجبورت میکنم | I'll make you
-- Tone: Spoken
-- Example: 1. "I won't talk." "I'll make you."

پشیمون میشی | You'll regret this
-- Tone: Spoken
-- Example: 1. If you walk out that door, you'll regret this.

تاوانشو میدی | You'll pay for this
-- Tone: Spoken
-- Example: 1. You ruined my car! You'll pay for this!

بهت نشون میدم | I'll show you
-- Tone: Spoken
-- Example: 1. Think I'm weak? I'll show you.

حسابت رو میرسم | I'll get you for this
-- Tone: Spoken
-- Example: 1. You pranked me? I'll get you for this.

حالم ازت بهم میخوره | You make me sick
-- Tone: Spoken
-- Example: 1. You stole from your own mother? You make me sick.

بمیری ایشالا | Drop dead
-- Tone: Spoken
-- Example: 1. "Will you marry me?" "Drop dead."

دهنتو سرویس میکنم | I'll kick your ass
-- Tone: Spoken
-- Example: 1. Touch my bike again and I'll kick your ass.

میزنم تو صورتت | I'll punch your lights out
-- Tone: Spoken
-- Example: 1. Keep talking and I'll punch your lights out.

بزن قدش (دعوا تموم) | Shake on it
-- Tone: Spoken
-- Example: 1. Deal? Deal. Shake on it.

قولت قوله؟ (دیگه زیرش نزن) | Is that a promise?
-- Tone: Spoken
-- Example: 1. You'll quit smoking? Is that a promise?

زیر قولت نزن | Don't go back on your word
-- Tone: Spoken
-- Example: 1. You said you'd help. Don't go back on your word.

میزنم زیرش (قول) | I take it back
-- Tone: Spoken
-- Example: 1. I said you were ugly. I take it back. I was angry.

حرفت رو پس بگیر | Take that back
-- Tone: Spoken
-- Example: 1. Don't call me a liar! Take that back!

سوء تفاهم شده | It's a misunderstanding
-- Tone: Spoken
-- Example: 1. Wait, let me explain. It's a misunderstanding.

از ما گفتن بود (میل خودته) | It's your funeral
-- Tone: Spoken
-- Example: 1. You're going to argue with the boss? Okay, it's your funeral.

به جون مادرم | On my mother's life
-- Tone: Spoken
-- Example: 1. I'm telling the truth, on my mother's life.

داری دروغ میبافی | You're making it up
-- Tone: Spoken
-- Example: 1. Aliens didn't take your homework. You're making it up.

باید میگفتم | I should have said ...
-- Tone: Spoken
-- Example: 1. I should have said sorry earlier.

نباید انجام میدادم | I shouldn't have done it
-- Tone: Spoken
-- Example: 1. It was a mistake. I shouldn't have done it.

انگشت اتهام نزن | Don't point fingers
-- Tone: Spoken
-- Example: 1. Let's solve the problem instead of pointing fingers.

دست از سرم بردار | Get off my case
-- Tone: Spoken
-- Example: 1. I'll clean my room later. Get off my case.

بذار نفس بکشم | Give me some space
-- Tone: Spoken
-- Example: 1. We need a break. Give me some space.

وقتشه تمومش کنیم | It's time to end this
-- Tone: Spoken
-- Example: 1. This war has gone on too long. It's time to end this.

دیگه تمومه | It's over
-- Tone: Spoken
-- Example: 1. Our relationship isn't working. It's over.

بزن بریم بیرون | Let's take this outside
-- Tone: Spoken
-- Example: 1. You wanna fight? Let's take this outside.

همه چی مرتبه | Everything is under control
-- Tone: Spoken
-- Example: 1. Don't panic. Everything is under control.

گذشته‌ها گذشته | The past is in the past
-- Tone: Spoken
-- Example: 1. Don't dwell on mistakes. The past is in the past.

آب زیر پل (گذشته، تموم شده) | Water under the bridge
-- Tone: Spoken
-- Example: 1. We fought years ago, but that's water under the bridge now.

صلح کنیم (تبر جنگ را خاک کنیم) | Bury the hatchet
-- Tone: Spoken
-- Example: 1. Let's stop fighting and bury the hatchet.

از اول شروع کنیم | Let's start over
-- Tone: Spoken
-- Example: 1. We got off on the wrong foot. Let's start over.

صفحه جدید (شروع تازه) | Turn a new leaf
-- Tone: Spoken
-- Example: 1. He came out of prison and turned a new leaf.

شانس دوم | Second chance
-- Tone: Spoken
-- Example: 1. Everyone deserves a second chance.


گیر دادی ها (ول نمیکنی) | You're splitting hairs
-- Tone: Spoken / Idiom
-- Example: 1. It was 12:01, not midnight. You're splitting hairs.

موش و گربه بازی | Cat and mouse
-- Tone: Spoken / Idiom
-- Example: 1. Stop playing cat and mouse with me.

به سیم آخر زدن | Go bananas
-- Tone: Spoken / Slang
-- Example: 1. The crowd went bananas when the band came out.

قاطی کردن (عصبانی شدن) | Go ballistic
-- Tone: Spoken / Slang
-- Example: 1. My dad went ballistic when he saw the dent in the car.

دیوونه شدن (از کوره در رفتن) | Go nuts
-- Tone: Spoken / Slang
-- Example: 1. If I hear that song again, I'm going to go nuts.

عصبی شدن (وحشی شدن) | Freak out
-- Tone: Spoken / Slang
-- Example: 1. Don't freak out, it's just a spider.

ترسیدن (جا زدن) | Chicken out
-- Tone: Spoken / Slang
-- Example: 1. I was going to jump, but I chickened out.

خرخون | Bookworm
-- Tone: Spoken
-- Example: 1. She's such a bookworm; always in the library.

خنگ | Airhead
-- Tone: Spoken / Slang
-- Example: 1. Don't be such an airhead.

باهوش (زرنگ) | Sharp cookie
-- Tone: Spoken / Idiom
-- Example: 1. He's a sharp cookie; he'll figure it out.

آدم زرنگ (سخت‌کوش) | Go-getter
-- Tone: Spoken
-- Example: 1. She's a real go-getter; she'll be CEO one day.

آدم تنبل | Couch potato
-- Tone: Spoken / Slang
-- Example: 1. Stop being a couch potato and go outside.

آدم فضول | Busybody
-- Tone: Spoken
-- Example: 1. That neighbor is such a busybody.

دهن‌لق | Chatterbox
-- Tone: Spoken
-- Example: 1. She's a chatterbox; never stops talking.

آدم نچسب (ضدحال) | Wet blanket / Party pooper
-- Tone: Spoken / Slang
-- Example: 1. Don't be a wet blanket; come dance!

آدم دو رو | Two-faced
-- Tone: Spoken
-- Example: 1. Watch out for him; he's two-faced.

آدم خسیس | Cheapskate
-- Tone: Spoken / Slang
-- Example: 1. He didn't even tip. What a cheapskate.

پولدار (مایه دار) | Loaded
-- Tone: Spoken / Slang
-- Example: 1. Look at his car. He must be loaded.

بی‌پول (آس و پاس) | Broke
-- Tone: Spoken
-- Example: 1. I can't go out tonight; I'm completely broke.

گرون (قیمت خون باباش) | Rip-off
-- Tone: Spoken / Slang
-- Example: 1. $50 for a t-shirt? That's a rip-off.

مفت (خیلی ارزون) | A steal
-- Tone: Spoken / Idiom
-- Example: 1. I got this bike for $10. It was a steal.

پول زور | Highway robbery
-- Tone: Spoken / Idiom
-- Example: 1. The price of popcorn at the cinema is highway robbery.

پول خرد (ناچیز) | Peanuts
-- Tone: Spoken / Idiom
-- Example: 1. He works hard but gets paid peanuts.

پول نقد | Cold hard cash
-- Tone: Spoken
-- Example: 1. I want payment in cold hard cash.

رشوه دادن (سبیل چرب کردن) | Grease someone's palm
-- Tone: Spoken / Idiom
-- Example: 1. You might have to grease someone's palm to get that permit.

کلک زدن | Pull a fast one
-- Tone: Spoken / Idiom
-- Example: 1. Don't try to pull a fast one on me.

سرم کلاه گذاشتن | Rip me off
-- Tone: Spoken / Slang
-- Example: 1. That mechanic ripped me off.

دستم انداختن (سر کار گذاشتن) | Pull my leg
-- Tone: Spoken / Idiom
-- Example: 1. Are you pulling my leg?

دست به سر کردن | Blow someone off
-- Tone: Spoken / Slang
-- Example: 1. I texted him but he blew me off.

پیچوندن | Ditch / Bail
-- Tone: Spoken / Slang
-- Example: 1. Let's ditch this class. 2. He bailed on us at the last minute.

قال گذاشتن | Stand someone up
-- Tone: Spoken / Idiom
-- Example: 1. He waited for an hour, but she stood him up.

مخ زنی | Hit on someone
-- Tone: Spoken / Slang
-- Example: 1. Was that guy hitting on you?

پا دادن (لاس زدن) | Flirt
-- Tone: Spoken
-- Example: 1. She was definitely flirting with you.

خاطرخواه شدن | Have a crush on
-- Tone: Spoken
-- Example: 1. I think he has a crush on the teacher.

عاشق شدن (یه دل نه صد دل) | Head over heels
-- Tone: Spoken / Idiom
-- Example: 1. They are head over heels in love.

نامزد کردن (شیرینی خوردن) | Tie the knot
-- Tone: Spoken / Idiom (Usually means get married)
-- Example: 1. So, when are you two going to tie the knot?

زن ذلیل | Whipped
-- Tone: Spoken / Slang
-- Example: 1. He won't come out; he's totally whipped.

رفیق فابریک (صمیمی) | Bestie / BFF
-- Tone: Spoken / Slang
-- Example: 1. She's my bestie; we tell each other everything.

اکیپ (گروه دوستان) | Squad / Crew
-- Tone: Spoken / Slang
-- Example: 1. Heading to the mall with the squad.

پایه (اهل دل) | Down to earth
-- Tone: Spoken
-- Example: 1. She's famous but very down to earth.

خوش مشرب | Butterfly (Social butterfly)
-- Tone: Spoken / Idiom
-- Example: 1. She's a social butterfly; knows everyone.

تنها (منزوی) | Loner
-- Tone: Spoken
-- Example: 1. He's a bit of a loner.

عجیب غریب | Weirdo / Creep
-- Tone: Spoken / Slang
-- Example: 1. Stay away from that weirdo.

خفن (باحال) | Dope / Sick / Cool
-- Tone: Spoken / Slang
-- Example: 1. Those shoes are dope! 2. That jump was sick!

مزخرف (چرت) | Lame / Garbage
-- Tone: Spoken / Slang
-- Example: 1. That movie was so lame.

بی‌نمک (لوس) | Cheesy
-- Tone: Spoken / Slang
-- Example: 1. That pickup line was so cheesy.

ضایع (افتضاح) | Cringe
-- Tone: Spoken / Slang (Gen Z)
-- Example: 1. His dancing is so cringe.

سه کردن (سوتی دادن) | Screw up / Mess up
-- Tone: Spoken / Slang
-- Example: 1. Don't screw this up.

گند زدن | Bomb
-- Tone: Spoken / Slang
-- Example: 1. The comedian bombed on stage; nobody laughed.

ترکوندن (عالی بودن) | Kill it / Slay
-- Tone: Spoken / Slang
-- Example: 1. Go out there and kill it! 2. She slewed that performance.

پشیمون شدن (سرد شدن) | Get cold feet
-- Tone: Spoken / Idiom
-- Example: 1. He got cold feet before the wedding.

دل و جرات داشتن | Have guts
-- Tone: Spoken
-- Example: 1. It takes guts to say that.

بزدل (ترسو) | Chicken / Coward
-- Tone: Spoken / Slang
-- Example: 1. Don't be a chicken; jump!

رو اعصابه (گیر میده) | Pain in the neck / ass
-- Tone: Spoken / Idiom
-- Example: 1. Filling out these forms is a pain in the neck.

راحت (مثل آب خوردن) | Piece of cake
-- Tone: Spoken / Idiom
-- Example: 1. The exam was a piece of cake.

سخت (مثل سنگ) | Rock hard / Tough
-- Tone: Spoken
-- Example: 1. That question was rock hard.

سر در گم | In a fog
-- Tone: Spoken / Idiom
-- Example: 1. I haven't had coffee; I'm in a fog.

هشیار (سر حال) | Sharp
-- Tone: Spoken
-- Example: 1. Stay sharp; they might trick you.

مست | Hammered / Wasted
-- Tone: Spoken / Slang
-- Example: 1. He got hammered at the party.

خمار (بعد از مستی) | Hungover
-- Tone: Spoken
-- Example: 1. I have a terrible headache; I'm hungover.

سیگاری | Chain smoker
-- Tone: Spoken / Idiom
-- Example: 1. He's a chain smoker; goes through two packs a day.

ترک کردن (یکدفعه) | Cold turkey
-- Tone: Spoken / Idiom
-- Example: 1. I quit smoking cold turkey.

معتاد به کار | Workaholic
-- Tone: Spoken
-- Example: 1. Put down the phone; you're a workaholic.

معتاد به خرید | Shopaholic
-- Tone: Spoken
-- Example: 1. She's a total shopaholic.

عشق شکلات | Chocoholic
-- Tone: Spoken
-- Example: 1. I must have dessert; I'm a chocoholic.

خوره کامپیوتر | Geek / Nerd
-- Tone: Spoken / Slang
-- Example: 1. He's a computer geek.

خوره فیلم | Movie buff
-- Tone: Spoken
-- Example: 1. Ask him about the actor; he's a movie buff.

خوره غذا (شکمو) | Foodie
-- Tone: Spoken
-- Example: 1. I'm a foodie; I love trying new restaurants.

بد غذا | Picky eater
-- Tone: Spoken
-- Example: 1. Cooking for him is hard; he's a picky eater.

سحرخیز | Early bird
-- Tone: Spoken
-- Example: 1. I'm an early bird; I wake up at 5 am.

شب زنده دار | Night owl
-- Tone: Spoken
-- Example: 1. I do my best work at night; I'm a night owl.

خوش بیان (چرب زبان) | Smooth talker
-- Tone: Spoken
-- Example: 1. Don't believe him; he's a smooth talker.

دهن گشاد (راز نگه ندار) | Big mouth
-- Tone: Spoken
-- Example: 1. You told him? You have such a big mouth!

سنگ صبور | Shoulder to cry on
-- Tone: Spoken / Idiom
-- Example: 1. If you need a shoulder to cry on, I'm here.

گوش شنوا | Sympathetic ear
-- Tone: Spoken
-- Example: 1. She always lends a sympathetic ear.

حلال مشکلات (همه فن حریف) | Jack of all trades
-- Tone: Spoken / Idiom
-- Example: 1. He can fix anything; a real jack of all trades.

استاد هیچ کاری نبودن | Master of none
-- Tone: Spoken / Idiom
-- Example: 1. Jack of all trades, master of none.

کپی کار | Copycat
-- Tone: Spoken
-- Example: 1. Stop repeating me, you copycat!

نچسب (مزاحم) | Third wheel
-- Tone: Spoken / Idiom
-- Example: 1. I don't want to go on your date; I'll feel like a third wheel.

تو دل برو (جذاب) | Catch
-- Tone: Spoken / Slang
-- Example: 1. Marry him! He's a real catch.

چشم چرون | Peeping Tom
-- Tone: Spoken / Old Slang
-- Example: 1. Close the curtains; there might be a Peeping Tom.

شیرین عسل (نور چشمی) | Teacher's pet
-- Tone: Spoken
-- Example: 1. Everyone hates the teacher's pet.

خوش شانس | Lucky duck / Lucky dog
-- Tone: Spoken / Slang
-- Example: 1. You won? You lucky dog!

بد شانس | Jinxed
-- Tone: Spoken
-- Example: 1. I think this car is jinxed; it always breaks.

بزن به تخته (چشم نخوری) | Touch wood / Knock on wood
-- Tone: Spoken / Idiom
-- Example: 1. I haven't been sick all year, touch wood.

چشم خوردم | I put the hex on myself / Jinxed it
-- Tone: Spoken
-- Example: 1. I said I'd never fall, and then I fell. I jinxed it.

چشمت زدن | Someone cast a spell on you
-- Tone: Spoken (Figurative)
-- Example: 1. You have such bad luck. Someone must have cast a spell on you.

برو بابا (باور نمیکنم) | My foot
-- Tone: Spoken / Idiom
-- Example: 1. You're a doctor? Doctor my foot!

همین مونده بود (کم داشتیم) | That's all I needed
-- Tone: Spoken (Sarcastic)
-- Example: 1. Great, now it's raining. That's all I needed.

خدا بخیر بگذرونه | Heaven help us
-- Tone: Spoken
-- Example: 1. If he is driving, heaven help us.

خدا نکنه | God forbid
-- Tone: Spoken
-- Example: 1. If anything happens to you, God forbid...

خدا رو شکر | Thank God / Thank goodness
-- Tone: Spoken
-- Example: 1. You're safe! Thank God.

به جهنم | To hell with it
-- Tone: Spoken
-- Example: 1. I can't fix it. To hell with it.

به درک | Who cares?
-- Tone: Spoken
-- Example: 1. "He's mad at you." "Who cares?"

خاک تو سرت | Dropped on your head
-- Tone: Spoken / Insult (Were you dropped on your head as a baby?)
-- Example: 1. Why did you do that? Were you dropped on your head?

مخت تاب داره (دیوانه) | Screw loose
-- Tone: Spoken / Idiom
-- Example: 1. He talks to himself. He's got a screw loose.

مخ کسی را زدن (متقاعد کردن) | Talk someone into something
-- Tone: Spoken
-- Example: 1. He talked me into buying this car.

مخ کسی را خوردن | Talk someone's ear off
-- Tone: Spoken / Idiom
-- Example: 1. She talked my ear off for hours.

سر کسی کلاه گذاشتن | Take someone for a ride
-- Tone: Spoken / Idiom
-- Example: 1. I paid too much. They took me for a ride.

گول زدن | Pull the wool over someone's eyes
-- Tone: Spoken / Idiom
-- Example: 1. Don't try to pull the wool over my eyes.


نقش وکیل مدافع شیطان را بازی کردن (مخالفت برای بحث) | Play devil's advocate
-- Tone: Professional/Debate
-- Example: 1. I agree with you, but let me play devil's advocate for a moment to test your argument.

با مخالفت موافقت کردن (پایان بحث بدون توافق) | Agree to disagree
-- Tone: Formal/Polite
-- Example: 1. We're never going to see eye to eye on politics, so let's just agree to disagree.

زیاده‌روی نمیکردم (موافق نیستم کاملاً) | I wouldn't go that far
-- Tone: Spoken/Nuanced
-- Example: 1. "He's a genius!" "He's smart, sure, but I wouldn't go that far."

لبه پرتگاه (مسیر خطرناک) | A slippery slope
-- Tone: Metaphorical
-- Example: 1. Censoring slight criticism is a slippery slope to total dictatorship.

درک کردن (هضم کردن موضوع پیچیده) | Wrap my head around it
-- Tone: Spoken
-- Example: 1. Quantum physics is so weird; I just can't wrap my head around it.

در اوج عصبانیت (داغی لحظه) | In the heat of the moment
-- Tone: Spoken
-- Example: 1. I didn't mean what I said; it was just in the heat of the moment.

کوتاه اومدن (سخت نگرفتن به کسی) | Cut someone some slack
-- Tone: Informal
-- Example: 1. He's new to the job, so cut him some slack if he makes mistakes.

خود را جمع و جور کردن (مسلط شدن) | Get your act together
-- Tone: Stern
-- Example: 1. You're failing all your classes. You need to get your act together or you'll be expelled.

بی‌مقدمه (یهویی) | Out of the blue
-- Tone: Spoken
-- Example: 1. We hadn't spoken in years, and then she called me out of the blue.

تکلیف را روشن کردن (در نطفه خفه کردن) | Nip it in the bud
-- Tone: Idiom
-- Example: 1. It's a small leak now, but we should nip it in the bud before it floods the house.

به دلت صابون نزن | Don't hold your breath
-- Tone: Sarcastic/Realistic
-- Example: 1. They promised a raise, but don't hold your breath.

چوب لای چرخ گذاشتن (خراب کردن برنامه) | Throw a wrench in the works
-- Tone: Idiom
-- Example: 1. The storm threw a wrench in the works for our picnic plans.

دست و پا زدن (بداهه گویی کردن) | Wing it
-- Tone: Informal
-- Example: 1. I didn't study for the presentation, so I'm just going to wing it.

روی ابرها بودن (خیلی خوشحال) | On cloud nine
-- Tone: Idiom
-- Example: 1. Ever since he got the promotion, he's been on cloud nine.

سنگ تمام گذاشتن | Pull out all the stops
-- Tone: Idiom
-- Example: 1. It's her 50th birthday, so we're going to pull out all the stops for the party.

زیر آب زنی (خیانت) | Stab in the back
-- Tone: Metaphorical
-- Example: 1. I trusted him, but he stabbed me in the back to get my job.

آب پاکی ریختن (ناامید کردن) | Burst your bubble
-- Tone: Spoken
-- Example: 1. I hate to burst your bubble, but that "diamond" is actually glass.

تکلیف نامعلوم (معلق) | Up in the air
-- Tone: Spoken
-- Example: 1. Our vacation plans are still up in the air until I get my schedule.

به سیم آخر زدن | Throw caution to the wind
-- Tone: Idiom
-- Example: 1. She quit her safe job and threw caution to the wind to become an artist.

دندان روی جگر گذاشتن | Bite the bullet
-- Tone: Idiom
-- Example: 1. The car is wrecked; I'll just have to bite the bullet and buy a new one.

از کاه کوه ساختن | Make a mountain out of a molehill
-- Tone: Idiom
-- Example: 1. You only lost a pen; don't make a mountain out of a molehill.

آتیش بیار معرکه شدن | Add fuel to the fire
-- Tone: Idiom
-- Example: 1. He's already angry. Don't add fuel to the fire by arguing back.

نمک به زخم پاشیدن | Add insult to injury
-- Tone: Idiom
-- Example: 1. I crashed my car, and to add insult to injury, I got a speeding ticket.

مرغ یک پا دارد (لجوج) | Stick to your guns
-- Tone: Idiom
-- Example: 1. Everyone told him to sell, but he stuck to his guns and now he's rich.

حواس پرت شدن (رشته کلام) | Lose my train of thought
-- Tone: Spoken
